train/loss_step,train/loss_term_reconstruction_step,train/loss_term_mask_step,train/loss_term_E_step,train/loss_term_z_basal_step,train/gradient_norm,epoch,step,val/loss,val/loss_term_reconstruction,val/loss_term_mask,val/loss_term_E,val/loss_term_z_basal,val/frac_mask_freq_geq_0.5,val/frac_mask_freq_geq_0.8,val/frac_mask_freq_leq_0.2,train/loss_epoch,train/loss_term_reconstruction_epoch,train/loss_term_mask_epoch,train/loss_term_E_epoch,train/loss_term_z_basal_epoch
1741.0816650390625,1714.0882568359375,0.5154016017913818,6.655752804363146e-05,26.477880477905273,925.0008544921875,0,49,,,,,,,,,,,,,
,,,,,,0,95,1707.2999267578125,1680.2957763671875,3.9729504585266113,0.0011953279608860612,23.030075073242188,0.5240259766578674,0.0,0.0,,,,,
,,,,,,0,95,,,,,,,,,1896.2974853515625,1861.70556640625,0.511217474937439,7.25239297025837e-05,34.080440521240234
1674.739501953125,1651.3248291015625,0.5132940411567688,0.0001507694978499785,22.90120506286621,49.62870407104492,1,99,,,,,,,,,,,,,
1684.4921875,1662.5703125,0.4778904914855957,0.0002486564335413277,21.443758010864258,49.62870407104492,1,149,,,,,,,,,,,,,
,,,,,,1,191,1670.291015625,1646.166748046875,3.928609609603882,0.002803926123306155,20.19294548034668,0.20909090340137482,0.0,0.0,,,,,
,,,,,,1,191,,,,,,,,,1675.263427734375,1653.134033203125,0.5091726779937744,0.0002444263664074242,21.62010955810547
1653.4232177734375,1632.62158203125,0.49646902084350586,0.0004155685310252011,20.304683685302734,45.594444274902344,2,199,,,,,,,,,,,,,
1651.2109375,1631.329833984375,0.4770265519618988,0.0005360165378078818,19.40338706970215,45.594444274902344,2,249,,,,,,,,,,,,,
,,,,,,2,287,1647.57470703125,1625.7806396484375,3.9059133529663086,0.005887399427592754,17.882474899291992,0.06961038708686829,0.0,0.0,,,,,
,,,,,,2,287,,,,,,,,,1646.5460205078125,1627.1075439453125,0.5049942135810852,0.0005457178340293467,18.932811737060547
1617.5677490234375,1599.216552734375,0.5202862024307251,0.000821413123048842,17.830158233642578,42.964447021484375,3,299,,,,,,,,,,,,,
1623.0394287109375,1605.514892578125,0.4941176474094391,0.0010507043916732073,17.02927589416504,42.964447021484375,3,349,,,,,,,,,,,,,
,,,,,,3,383,1631.671630859375,1611.4549560546875,3.8638153076171875,0.009931760840117931,16.342777252197266,0.019870130345225334,0.0,0.0,,,,,
,,,,,,3,383,,,,,,,,,1627.4632568359375,1609.9608154296875,0.5007253289222717,0.000971518165897578,17.001264572143555
1634.9952392578125,1618.07568359375,0.5199024081230164,0.0013136551715433598,16.398258209228516,40.21873092651367,4,399,,,,,,,,,,,,,
1601.1488037109375,1585.1143798828125,0.4994896948337555,0.0014593004016205668,15.53343391418457,40.21873092651367,4,449,,,,,,,,,,,,,
,,,,,,4,479,1618.706787109375,1599.266357421875,3.8526525497436523,0.013788632117211819,15.574124336242676,0.006428571417927742,0.0,0.0,,,,,
,,,,,,4,479,,,,,,,,,1613.10595703125,1596.669189453125,0.49687719345092773,0.0014776262687519193,15.938738822937012
1601.0135498046875,1585.342041015625,0.5195111036300659,0.002120942808687687,15.14970874786377,54.18103790283203,5,499,,,,,,,,,,,,,
1606.5753173828125,1591.514404296875,0.46907153725624084,0.002257522428408265,14.589677810668945,54.18103790283203,5,549,,,,,,,,,,,,,
,,,,,,5,575,1606.86376953125,1588.028564453125,3.831737756729126,0.018316451460123062,14.985318183898926,0.0028571428265422583,0.0,0.0,,,,,
,,,,,,5,575,,,,,,,,,1601.11572265625,1585.337890625,0.49324092268943787,0.002086791442707181,15.282580375671387
1588.176025390625,1572.5374755859375,0.45845547318458557,0.0025599743239581585,15.177515983581543,38.63251876831055,6,599,,,,,,,,,,,,,
1595.3514404296875,1579.828369140625,0.46290746331214905,0.002976252231746912,15.057232856750488,38.63251876831055,6,649,,,,,,,,,,,,,
,,,,,,6,671,1596.9891357421875,1578.3780517578125,3.787883758544922,0.024641187861561775,14.798422813415527,0.0022727272007614374,0.0,0.0,,,,,
,,,,,,6,671,,,,,,,,,1590.7603759765625,1575.2476806640625,0.4896479845046997,0.002754430053755641,15.020071983337402
1582.074951171875,1566.944091796875,0.4877954125404358,0.0034009714145213366,14.639745712280273,42.28615188598633,7,699,,,,,,,,,,,,,
1595.137451171875,1579.841796875,0.47840672731399536,0.003589784260839224,14.813657760620117,42.28615188598633,7,749,,,,,,,,,,,,,
,,,,,,7,767,1588.4927978515625,1569.9063720703125,3.7666690349578857,0.030807510018348694,14.788838386535645,0.0029220778960734606,0.0,0.0,,,,,
,,,,,,7,767,,,,,,,,,1581.697509765625,1566.3216552734375,0.4861695170402527,0.003495830576866865,14.885880470275879
1567.7978515625,1552.199462890625,0.528492271900177,0.004356639459729195,15.065648078918457,57.05440139770508,8,799,,,,,,,,,,,,,
1568.8463134765625,1553.37841796875,0.4819394052028656,0.004790137056261301,14.9811372756958,57.05440139770508,8,849,,,,,,,,,,,,,
,,,,,,8,863,1580.117431640625,1561.5006103515625,3.733116388320923,0.03757549822330475,14.846270561218262,0.0044805193319916725,0.0,0.0,,,,,
,,,,,,8,863,,,,,,,,,1573.712158203125,1558.404296875,0.48309391736984253,0.004371747840195894,14.820388793945312
1567.3583984375,1552.2738037109375,0.4511347711086273,0.004575702361762524,14.628976821899414,28.993242263793945,9,899,,,,,,,,,,,,,
1595.310302734375,1580.1395263671875,0.5036849975585938,0.005572313908487558,14.661521911621094,28.993242263793945,9,949,,,,,,,,,,,,,
